rank,self,accum,count,method,trace
330,0.01%,92.18%,19,java.lang.String.toUpperCase,30165
331,0.01%,92.19%,19,java.lang.CharacterDataLatin1.getProperties,30169
332,0.01%,92.21%,19,java.lang.CharacterData00.getProperties,30171
333,0.01%,92.22%,19,java.lang.CharacterData00.getProperties,30174
334,0.01%,92.23%,19,org.python.core.PyUnicode.getSupplementaryCounts,30174
335,0.01%,92.25%,19,java.lang.CharacterData00.getProperties,30177
336,0.01%,92.26%,19,org.python.core.PyFrame.<init>,30184
337,0.01%,92.28%,19,Calls$py.test$13,30186
338,0.01%,92.29%,19,java.lang.AbstractStringBuilder.<init>,30186
339,0.01%,92.30%,19,java.lang.CharacterData.of,30213
340,0.01%,92.32%,19,org.python.core.__builtin__.range,30220
341,0.01%,92.33%,19,java.lang.Class.isAssignableFrom,30226
342,0.01%,92.35%,19,org.python.core.PyInteger.getValue,30232
343,0.01%,92.36%,19,With$py.test$17,30245
344,0.01%,92.37%,18,java.lang.CharacterDataLatin1.toLowerCase,30043
345,0.01%,92.39%,18,java.util.Arrays.copyOfRange,30088
346,0.01%,92.40%,18,Calls$py.test$13,30115
347,0.01%,92.41%,18,org.python.core.PyInteger.int___div__,30145
348,0.01%,92.43%,18,org.python.core.Py.newInteger,30149
349,0.01%,92.44%,18,org.python.core.PyListIterator.__iternext__,30151
350,0.01%,92.45%,18,java.util.ArrayList.rangeCheck,30153
351,0.01%,92.46%,18,java.lang.CharacterDataLatin1.isOtherLowercase,30167
352,0.01%,92.48%,18,java.lang.CharacterData.of,30169
353,0.01%,92.49%,18,java.lang.CharacterDataLatin1.getProperties,30172
354,0.01%,92.50%,18,java.lang.AbstractStringBuilder.<init>,30187
355,0.01%,92.52%,18,org.python.core.PyComplex.canCoerce,30195
356,0.01%,92.53%,18,org.python.core.PyInteger.int___add__,30201
357,0.01%,92.54%,18,java.lang.CharacterDataLatin1.getProperties,30210
358,0.01%,92.56%,18,java.lang.CharacterDataLatin1.getPropertiesEx,30211
359,0.01%,92.57%,18,java.lang.Character.getType,30212
360,0.01%,92.58%,18,java.lang.Character.isBmpCodePoint,30212
361,0.01%,92.60%,18,java.lang.String.toLowerCase,30213
362,0.01%,92.61%,18,org.python.core.PyString._islower,30238
363,0.01%,92.62%,18,org.python.core.BaseBytes.isupper,30240
364,0.01%,92.63%,17,java.lang.String.intern,30136
365,0.01%,92.65%,17,org.python.core.PyComplex._div,30137
366,0.01%,92.66%,17,org.python.core.PyFloat.float___div__,30143
367,0.01%,92.67%,17,org.python.core.Py.newInteger,30145
368,0.01%,92.68%,17,org.python.core.PyInteger.int___mul__,30148
369,0.01%,92.70%,17,org.python.core.PyBoolean.getBooleanValue,30150
370,0.01%,92.71%,17,java.lang.String.charAt,30162
371,0.01%,92.72%,17,java.lang.CharacterData00.toLowerCase,30171
372,0.01%,92.73%,17,java.lang.Object.getClass,30183
373,0.01%,92.75%,17,org.python.core.PyListIterator.__iternext__,30191
374,0.01%,92.76%,17,org.python.core.BaseBytes.islower,30208
375,0.01%,92.77%,17,org.python.core.PyString.__tojava__,30217
376,0.01%,92.78%,17,java.lang.System.currentTimeMillis,30218
377,0.01%,92.80%,17,java.lang.String.toLowerCase,30241
378,0.01%,92.81%,17,java.lang.Integer.valueOf,30242
379,0.01%,92.82%,17,org.python.core.PyInteger.getValue,30257
380,0.01%,92.83%,16,java.util.ArrayList.<init>,30111
381,0.01%,92.84%,16,org.python.core.__builtin__.range,30111
382,0.01%,92.86%,16,Calls$py.test$13,30113
383,0.01%,92.87%,16,java.util.Arrays.copyOfRange,30116
384,0.01%,92.88%,16,org.python.core.PyListIterator.__iternext__,30132
385,0.01%,92.89%,16,org.python.core.PyListIterator.__iternext__,30149
386,0.01%,92.90%,16,java.util.ArrayList.size,30152
387,0.01%,92.91%,16,org.python.core.PyString.charsFitWidth,30160
388,0.01%,92.93%,16,java.lang.AbstractStringBuilder.appendCodePoint,30168
389,0.01%,92.94%,16,java.lang.CharacterData.of,30175
390,0.01%,92.95%,16,java.lang.System.arraycopy,30180
391,0.01%,92.96%,16,java.util.regex.Pattern.newSlice,30183
392,0.01%,92.97%,16,org.python.core.__builtin__.range,30185
393,0.01%,92.98%,16,sun.misc.Unsafe.putObjectVolatile,30188
394,0.01%,93.00%,16,org.python.core.PyUnicode$SubsequenceIteratorBasic.nextCodePoint,30215
395,0.01%,93.01%,16,org.python.core.__builtin__.range,30219
396,0.01%,93.02%,16,org.python.core.PyInteger.int___add__,30234
397,0.01%,93.03%,16,java.lang.String.replace,30244
398,0.01%,93.04%,16,org.python.core.__builtin__.range,30245
399,0.01%,93.05%,16,org.python.core.__builtin__.range,30340
400,0.01%,93.06%,15,java.lang.CharacterDataLatin1.getProperties,30097
401,0.01%,93.08%,15,org.python.core.__builtin__.range,30111
402,0.01%,93.09%,15,sun.misc.Unsafe.compareAndSwapInt,30119
403,0.01%,93.10%,15,org.python.core.PyObject.__call__,30120
404,0.01%,93.11%,15,org.python.core.PyFrame.<init>,30134
405,0.01%,93.12%,15,java.lang.Thread.currentThread,30135
406,0.01%,93.13%,15,java.util.ArrayList.size,30150
407,0.01%,93.14%,15,Exceptions$py.test$2,30163
408,0.01%,93.15%,15,java.lang.CharacterDataLatin1.isOtherUppercase,30166
409,0.01%,93.16%,15,java.lang.AbstractStringBuilder.<init>,30166
410,0.01%,93.17%,15,java.lang.CharacterDataLatin1.getPropertiesEx,30174
411,0.01%,93.18%,15,java.util.Arrays.copyOfRange,30184
412,0.01%,93.20%,15,org.python.core.__builtin__.range,30185
413,0.01%,93.21%,15,Calls$py.test$13,30186
414,0.01%,93.22%,15,Calls$py.test$13,30187
415,0.01%,93.23%,15,java.lang.CharacterDataLatin1.getProperties,30212
416,0.01%,93.24%,15,org.python.core.PyObject.__call__,30218
417,0.01%,93.25%,15,With$py.test$17,30218
418,0.01%,93.26%,15,java.lang.AbstractStringBuilder.ensureCapacityInternal,30243
419,0.01%,93.27%,14,org.python.core.__builtin__.range,30110
